               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.062414,            0.018622,             0.08224,             0.04714,             0.35429,             0.08813,            0.046114,            0.025449,           0.0061787,            0.060841,            0.070073,           0.0033252,           0.0033252
                   1,            0.035709,            0.011648,            0.077153,             0.25018,             0.23582,             0.18663,             0.11189,            0.020451,           0.0042235,            0.056892,            0.039941,           0.0065267,           0.0065267
                   2,            0.033382,           0.0094954,            0.069175,             0.31264,             0.48431,             0.44463,             0.27318,            0.020809,           0.0042545,            0.041081,           0.0096775,           0.0095962,           0.0095962
                   3,            0.031925,            0.009013,            0.053132,             0.62667,             0.72192,             0.73631,             0.46016,            0.021685,           0.0040749,            0.025468,            0.009406,            0.009406,            0.009406
                   4,            0.030866,           0.0089018,            0.041332,              0.7644,             0.83277,             0.87462,             0.59239,            0.019764,            0.004268,            0.016571,            0.009406,            0.009406,            0.009406
                   5,            0.029383,           0.0086308,            0.032397,             0.84889,             0.95862,             0.93277,             0.66096,             0.01899,           0.0039363,            0.010516,            0.009208,            0.009208,            0.009208
                   6,            0.028453,           0.0085335,            0.027575,             0.85573,             0.95886,             0.93735,             0.67023,            0.018601,           0.0038053,           0.0079129,             0.00901,             0.00901,             0.00901
                   7,            0.027603,           0.0083405,            0.024133,             0.89936,             0.98349,             0.95773,             0.71174,            0.016881,           0.0036199,           0.0062317,            0.008812,            0.008812,            0.008812
                   8,            0.026816,           0.0082306,            0.023409,             0.90763,             0.98927,             0.95427,             0.70748,            0.017132,           0.0036685,           0.0055752,            0.008614,            0.008614,            0.008614
                   9,            0.026015,           0.0080029,            0.020743,             0.89864,             0.98039,             0.95615,             0.71055,            0.016999,           0.0038195,           0.0049286,            0.008416,            0.008416,            0.008416
                  10,            0.024995,           0.0077701,            0.019191,             0.90267,             0.99226,              0.9602,             0.71844,            0.016072,           0.0036686,           0.0041037,            0.008218,            0.008218,            0.008218
                  11,            0.024356,           0.0076211,            0.017734,             0.92676,             0.99551,             0.96261,             0.74477,            0.015469,           0.0034739,           0.0036525,             0.00802,             0.00802,             0.00802
                  12,            0.023634,           0.0074939,            0.017274,             0.92685,             0.99628,             0.96422,             0.74718,            0.015173,           0.0033099,           0.0034683,            0.007822,            0.007822,            0.007822
                  13,            0.022764,           0.0072437,            0.017255,             0.92676,             0.98714,             0.96691,             0.76208,            0.014552,           0.0033188,              0.0033,            0.007624,            0.007624,            0.007624
                  14,            0.022397,           0.0073212,            0.015416,              0.9266,             0.99823,             0.96083,             0.75816,            0.014364,           0.0033499,           0.0030352,            0.007426,            0.007426,            0.007426
                  15,            0.021863,           0.0071049,            0.015212,             0.91428,             0.98898,             0.96557,             0.76741,            0.013609,           0.0033109,            0.002891,            0.007228,            0.007228,            0.007228
                  16,            0.021695,           0.0071793,            0.015048,               0.932,             0.99431,             0.95988,             0.77642,             0.01363,           0.0031056,           0.0029219,             0.00703,             0.00703,             0.00703
                  17,            0.020892,            0.006801,            0.013892,             0.92771,             0.99329,             0.96655,             0.77723,              0.0131,           0.0030942,           0.0031396,            0.006832,            0.006832,            0.006832
                  18,            0.020772,           0.0067962,            0.013337,             0.93318,             0.99584,             0.96582,             0.78059,            0.013002,           0.0031169,           0.0027254,            0.006634,            0.006634,            0.006634
                  19,            0.020402,           0.0066783,            0.012504,             0.94574,             0.97494,             0.97481,              0.7922,            0.012671,           0.0031585,           0.0026905,            0.006436,            0.006436,            0.006436
                  20,            0.019629,             0.00666,            0.012437,             0.94689,             0.97738,             0.97797,             0.79416,            0.012534,           0.0030669,           0.0024913,            0.006238,            0.006238,            0.006238
                  21,             0.01944,           0.0064954,            0.011709,             0.97919,             0.99048,             0.99351,             0.80797,            0.012659,           0.0030628,           0.0016919,             0.00604,             0.00604,             0.00604
                  22,             0.01895,           0.0064841,            0.011364,             0.98268,             0.98676,             0.99219,             0.82172,            0.012317,           0.0030028,           0.0016165,            0.005842,            0.005842,            0.005842
                  23,            0.018968,           0.0062525,            0.011194,             0.97186,             0.97378,              0.9897,             0.82462,            0.012074,           0.0029775,           0.0018511,            0.005644,            0.005644,            0.005644
                  24,            0.018626,           0.0062386,            0.010456,              0.9796,             0.98549,             0.99131,             0.82057,            0.011673,           0.0030455,           0.0017308,            0.005446,            0.005446,            0.005446
                  25,            0.018009,           0.0062131,           0.0099476,             0.98731,             0.99012,             0.99415,             0.83268,            0.011565,           0.0028718,           0.0013161,            0.005248,            0.005248,            0.005248
                  26,            0.017837,           0.0061546,           0.0098244,             0.98117,             0.98653,             0.99162,             0.82429,            0.011627,           0.0028229,           0.0015142,             0.00505,             0.00505,             0.00505
                  27,            0.017289,           0.0059508,           0.0093763,             0.98485,             0.97941,             0.99243,             0.83559,            0.011215,           0.0028049,           0.0014879,            0.004852,            0.004852,            0.004852
                  28,            0.017022,           0.0060232,           0.0088792,             0.98718,             0.98713,             0.99227,             0.83415,            0.011379,           0.0027996,           0.0012198,            0.004654,            0.004654,            0.004654
                  29,            0.016824,              0.0059,           0.0084967,             0.97434,             0.99073,             0.99003,             0.83596,            0.011059,           0.0027299,           0.0013858,            0.004456,            0.004456,            0.004456
                  30,            0.016582,           0.0058304,           0.0085184,             0.98269,             0.98714,             0.98836,             0.83089,            0.011086,           0.0028116,           0.0013722,            0.004258,            0.004258,            0.004258
                  31,            0.016207,           0.0057843,           0.0084525,                0.99,              0.9912,             0.99413,             0.83796,             0.01126,           0.0027842,            0.000847,             0.00406,             0.00406,             0.00406
                  32,            0.016002,           0.0057965,            0.008086,             0.98553,             0.98792,             0.99313,             0.84255,            0.010776,           0.0027516,           0.0011339,            0.003862,            0.003862,            0.003862
                  33,            0.015733,           0.0056978,           0.0076081,             0.98813,             0.99359,             0.99482,             0.84028,            0.010686,           0.0026795,          0.00082955,            0.003664,            0.003664,            0.003664
                  34,            0.015281,            0.005591,           0.0074918,              0.9911,             0.99179,             0.99381,             0.84939,            0.010634,            0.002661,          0.00062788,            0.003466,            0.003466,            0.003466
                  35,            0.015135,           0.0054823,           0.0074484,             0.99409,             0.99561,              0.9949,             0.85055,            0.010818,           0.0026782,          0.00065738,            0.003268,            0.003268,            0.003268
                  36,            0.014694,           0.0054632,            0.006458,             0.99329,              0.9958,             0.99426,             0.85201,            0.010474,            0.002692,          0.00048697,             0.00307,             0.00307,             0.00307
                  37,            0.014487,           0.0053509,           0.0062605,              0.9909,             0.99714,             0.99484,             0.84997,            0.010361,           0.0026814,          0.00048895,            0.002872,            0.002872,            0.002872
                  38,            0.014255,           0.0052921,           0.0061333,             0.99187,             0.99401,             0.99427,             0.85141,            0.010431,           0.0027163,          0.00055261,            0.002674,            0.002674,            0.002674
                  39,            0.013997,           0.0052146,           0.0063395,              0.9887,             0.99171,             0.99459,             0.85365,              0.0102,           0.0027046,          0.00052077,            0.002476,            0.002476,            0.002476
                  40,            0.013584,           0.0050996,           0.0057681,             0.99389,             0.99722,             0.99472,             0.85624,            0.010112,           0.0026516,          0.00037241,            0.002278,            0.002278,            0.002278
                  41,            0.013514,           0.0051122,           0.0057263,             0.99231,             0.99591,             0.99472,             0.86196,           0.0099599,           0.0026199,          0.00034449,             0.00208,             0.00208,             0.00208
                  42,            0.013124,           0.0050943,            0.005301,             0.99429,             0.99615,             0.99477,               0.867,           0.0095715,           0.0025722,          0.00031168,            0.001882,            0.001882,            0.001882
                  43,            0.012664,           0.0051124,           0.0051619,             0.98922,             0.99269,             0.99471,             0.86828,           0.0095358,           0.0025689,          0.00039643,            0.001684,            0.001684,            0.001684
                  44,            0.012275,           0.0048962,           0.0050259,             0.99468,             0.99591,              0.9948,             0.86995,           0.0094764,           0.0025666,          0.00021049,            0.001486,            0.001486,            0.001486
                  45,            0.012028,           0.0048203,           0.0048794,               0.994,             0.99574,             0.99423,             0.86446,           0.0095475,           0.0025709,          0.00018436,            0.001288,            0.001288,            0.001288
                  46,            0.011797,           0.0047623,           0.0043921,             0.99309,              0.9946,             0.99468,             0.86624,           0.0095212,           0.0025625,           0.0001625,             0.00109,             0.00109,             0.00109
                  47,            0.011588,           0.0048723,           0.0042822,              0.9937,              0.9957,             0.99468,             0.87086,           0.0094972,           0.0025405,          0.00012877,            0.000892,            0.000892,            0.000892
                  48,            0.011234,           0.0046545,           0.0041337,             0.99195,             0.99553,             0.99468,              0.8719,           0.0093135,           0.0025178,           0.0001225,            0.000694,            0.000694,            0.000694
                  49,            0.011151,           0.0047007,           0.0040618,             0.99436,             0.99722,             0.99482,             0.87374,           0.0092344,           0.0025199,          0.00010214,            0.000496,            0.000496,            0.000496
